meal_id,n_items,food_sequence,total_carbs,total_protein,total_fat,total_fiber,max_gi,contains_vegetable,contains_protein,contains_fat,carb_first,protein_first,vegetable_first,food_names
meal_31,4,carb → vegetable → protein → protein,39.0,40.0,3.4000000000000004,11.0,55,True,True,False,True,False,False,"Oatmeal, cooked, Cauliflower, raw, Turkey breast, roasted, Pinto beans, cooked"
meal_32,3,protein → vegetable → carb,23.0,14.3,6.1,6.6,55,True,True,False,False,True,False,"Tofu, firm, Kale, raw, Oatmeal, cooked"
meal_33,3,carb → vegetable → protein,31.3,18.8,5.6,2.5,55,True,True,False,True,False,False,"Pasta, white, cooked, Lettuce, romaine, Cottage cheese, 2% fat"
meal_34,2,carb → fat,61.0,13.7,12.3,12.7,75,False,False,True,True,False,False,"White bread, Chia seeds"
meal_35,2,protein → dairy,5.3999999999999995,16.0,10.7,0.0,32,False,True,False,False,True,False,"Eggs, whole, cooked, Milk, skim"
meal_36,4,protein → vegetable → carb → protein,50.0,41.9,2.8,11.2,68,True,True,False,False,True,False,"Turkey breast, roasted, Broccoli, raw, Brown rice, cooked, Lima beans, cooked"
meal_37,3,vegetable → protein → carb,18.5,30.0,15.4,3.9,52,True,True,False,False,False,True,"Broccoli, raw, Pork chop, lean, Tortilla, corn"
meal_38,2,fat → carb,55.0,17.0,19.3,4.7,75,False,False,True,False,False,False,"Peanut butter, White bread"
meal_39,2,sweet → protein,55.0,15.5,34.0,4.4,43,False,True,False,False,False,False,"Milk chocolate, Tofu, firm"
meal_40,3,vegetable → carb → protein,26.6,32.3,2.0,2.3,68,True,True,False,False,False,True,"Cucumber, with peel, Brown rice, cooked, Turkey breast, roasted"
meal_41,3,vegetable → carb → protein,26.6,35.5,4.3,4.0,68,True,True,False,False,False,True,"Spinach, raw, Brown rice, cooked, Venison, roasted"
meal_42,4,vegetable → carb → protein → protein,44.9,36.8,13.799999999999999,18.2,78,True,True,False,False,False,True,"Tomatoes, raw, Potato, white, baked, Salmon, wild, cooked, Black beans, cooked"
meal_43,2,fruit → protein,9.5,29.9,1.3,1.5,42,False,True,False,False,False,False,"Peach, Turkey breast, roasted"
meal_44,4,vegetable → protein → protein → carb,64.5,28.7,12.1,14.6,42,True,True,False,False,False,True,"Eggplant, cooked, Eggs, whole, cooked, Lima beans, cooked, Pasta, whole wheat"
meal_45,3,carb → protein → vegetable,32.6,30.7,10.399999999999999,4.199999999999999,65,True,True,False,True,False,False,"Couscous, cooked, Ground beef, 90% lean, Carrots, raw"
meal_46,4,protein → protein → vegetable → carb,58.099999999999994,24.7,5.3,8.0,73,True,True,False,False,True,False,"Kidney beans, cooked, Cottage cheese, 2% fat, Tomatoes, raw, White rice, cooked"
meal_47,2,protein → carb,40.4,19.9,5.1,4.6,42,False,True,False,False,True,False,"Cottage cheese, 2% fat, Pasta, whole wheat"
meal_48,2,protein → dairy,1.6,33.1,13.6,0.0,0,False,True,False,False,True,False,"Chicken breast, grilled, Cream cheese"
meal_49,3,vegetable → protein → carb,26.6,31.5,15.3,4.0,68,True,True,False,False,False,True,"Spinach, raw, Pork chop, lean, Brown rice, cooked"
meal_50,3,vegetable → carb → protein,31.3,35.800000000000004,3.5999999999999996,1.4,73,True,True,False,False,False,True,"Mushrooms, white, White rice, cooked, Venison, roasted"
